                                          BIBLIOTECA CENTRAL          Fecha: 26/06/2021
CODIGO     NOMBRE                             COD. DE LIBRO   TITULO                                  OBSERVACION
81082011   Arroyo Gordillo Maria Heli               BB35881   Una Navidad                             Supero el limite de prestamos 
15129661   Wong Martel Madeleine                    PL70268   Lady -- Windermeres Fan                 No hay libro disponible       
65071478   Mejia Diaz Blanca Milagros               QO90975   La Peau de chagrin                      Supero fecha limite           
23636303   Piscoya Bravo Cesar Bruno                BB35881   Una Navidad                             Se le entrego el libro        
45834351   Velasquez Huayanay Edgard Henry          FY82455   La guerra del fin del mundo             Supero fecha limite           
37751890   Shirakawa Miranda Madeleine              UW23132   House of Pomegranates                   Supero el limite de prestamos 
74295562   Bolanos Fuentes Jorge                    QV96140   El Duque en su territorio               No hay libro disponible       
65071478   Mejia Diaz Blanca Milagros               LM05731   Le Chevalier de Maison - Rouge          Supero fecha limite           
63602514   Auris Zimic Javier Daniel                QA53897   The Corsican Brothers                   Supero fecha limite           
70385303   Velasquez Cano Fernando                  ZM20053   The Fencing Master                      Se le entrego el libro        
37067112   Fernandez Ortega Elizabeth Elizabeth     FW74175   La Cousine Bette                        Se le entrego el libro        
63602514   Auris Zimic Javier Daniel                JO84937   Historia de Mayta                       Supero fecha limite           
63602514   Auris Zimic Javier Daniel                MG75057   La vuelta al mundo en 75 dias           No hay libro disponible       
99666105   Justino Forzani Ericka Victoria          QV96140   El Duque en su territorio               No hay libro disponible       
37500242   Vasquez Paz Alex Martin                  OT07742   La Fille aux yeux d-or                  Supero fecha limite           
11750801   Shirakawa Ortega Angel                   ZQ38637   La casa verde                           No hay libro disponible       
67517268   Gordillo Castro Ronal                    QE47018   El Manuscrito del Domino                Se le entrego el libro        
69561370   Zevallos Prado Ricardo                   FY25192   La hermosa jardinera                    Se le entrego el libro        
70848926   Minaya Vizcarra Juvenal                  TA81777   Musica para camaleones                  Se le entrego el libro        
74228820   Patino Fuentes Milagros Mariella         IW10872   El Club de los explotadores             No hay libro disponible       
92240876   Vega Garcia Janet Rebeca                 QO90975   La Peau de chagrin                      Supero fecha limite           
87804471   Cerna Durand Martin                      PT00038   El nino perdido                         Supero fecha limite           
26916299   Diaz Antezano Magali Silvana             KC34197   Las demoliciones de Paris               Supero fecha limite           
