45201670   [ROCIO YOLANDA ACUNA YINO] Santa Anita
59561864 [GONZALO VEGA MUNOZ]      Santiago de Surco
93282118     [EVERT FIGUEROA COLLADO]      Miraflores
45914393   [MARIA HELI ARROYO GORDILLO]      San Borja
72973662      [MARIA MADELEINE SOLIS NARVAEZ]      Independencia
51642949      [MAGALI SILVANA DIAZ ANTEZANO]      San Martin de Porres
37282858   [LOURDES DIANA SUELDO MARTINEZ]      San Miguel
36934113 [MILAGROS NATALIA BACA CAMACHO]      Los Olivos
17299012    [SANDRO ARTURO PISCOYA LEE]      San Juan de Lurigancho
51873364         [JOHAN CHAVEZ BERROCAL]      Rimac
27709566   [JOSE ROLANDO CERNA HIJAR]     Ate
93939698  [ENRIQUE JORGE DURAND VALVERDE]      El Agustino
62126128     [JAVIER DANIEL AURIS ZIMIC]      Santa Anita
77440060      [MARTIN JUVENAL VILLA SEDANO]      Santa Anita
59596317      [EDWARD REYES TANG]      Rimac
93961840         [EMIGDIO FRANCISCO ESCALANTE ESPINO]      Villa María del Triunfo
51465986            [CAROLA TATIANA LOYOLA CASANOVA]      La Molina
31284904   [ELIA YOLANDA SEDANO RETAMOSO]     Breña
90367684    [HELI CORONEL CHUMPITAZ]      Villa María del Triunfo
68269451      [JORGE ALFARO AYALA]      La Molina
22679759  [FRANCISCO ARANA RONDON]      Los Olivos
30246960          [MADELEINE SHIRAKAWA MIRANDA]     Breña
20371464      [FELICITA VILLEGAS LEIVA]      San Juan de Lurigancho
81647285      [MARITZA CARBAJAL SALAMANCA]      San Juan de Lurigancho
49357767             [JUAN PRADO VERA]      San Martin de Porres
92275859      [ROBERTO INFANTES HERNANDEZ]      El Agustino
79100967      [WILVER ALFONSO RIVERO CORTEZ]      San Martin de Porres
99774549      [ROLANDO SOLIS CHUNG]      San Borja
28992638  [ELOY JAIME ORTEGA LANDEO]      Miraflores
71422479  [ALBERTO DE LA HAZA CABRERA]      Villa El Salvador
80694546         [MADELEINE YLIANA MIYAKE MEREL]      La Molina
43704548     [ERICKA VICTORIA JUSTINO FORZANI]      Magdalena del Mar
53420926 [MILAGROS VILCARA GAVIDIA]      El Agustino
57182371         [EDGARD HENRY VELASQUEZ HUAYANAY]      Villa El Salvador
