LÍNEAS DE CRÉDITO
Fecha más reciente en el registro deingresos: 22/03/2019
Fecha más antigua en el registro deingresos:  30/12/2015
=========================================================
DNI           Teléfono      Banco A     Banco B
---------------------------------------------------------
47822069     980293292        38.78       290.85
84075149     977657109     30275.08      3784.38
67939580     974128007     31475.14      3934.39
66255306     988295279       744.76      5585.70
57256326     999213867    505326.86     23687.20
98705774     987355306    356258.14    133596.80
68768941     989448083       925.13      6938.51
96638655     969641166       334.57      2509.29
57029799     983867245     46022.61      8629.24
88705895     992457332       816.25      6121.87
07714046     991446263    483282.29      9061.54
08225942     988404608     50600.86     23719.15
95531943     974289083     13537.11    203056.66
74780947     964296413       688.24      5161.79
31977574     987267350    635844.57    417273.00
46622558     994722416      2755.63     41334.48
15980157     973964381    706895.14    123706.65
08903592     981895370       799.75      5998.11
04946996     978663197       919.97      6899.78
15163198     965579113    693258.86     69325.89
31500337     982140880     14840.03    155820.30
77200091     972882332     35387.30      6635.12
48133314     961814373     39996.41      7499.33
59341020     998451840     91089.56     11386.19
19220491     990745313     10239.46      3839.80
27673352     978165468    138760.07      1734.50
42025788     981593662     53774.64     40330.98
30532625     979971604      8427.48    126412.13
13111562     975221650      9454.71     14182.07
96927966     992314694     10685.68      8014.26
55346146     989177594     75630.26     35451.68
19916252     976181241       852.36      6392.70
22467464     994171198       408.27      3062.05
79049997     987281673       801.63      6012.23
89132437     973349529       857.28      6429.57
02476247     973177234    285012.00     74815.65
99070159     968895184       993.17      7448.81
44685024     981765870    344181.57     51627.24
89472796     986523887      6606.74     69370.72
04760029     965066298     33300.89     15609.79
06028547     975129292    359002.07     35900.21
26393670     987723196     13726.13     10294.60
28290283     972086984    135501.57     10162.62
11354327     970043354     41599.31      7799.87
14913634     985330047     21664.04      4062.01
91526427     977200218       224.35      1682.65
85058435     984099177     19882.07      7455.78
65505138     986033852    324798.00     48719.70
08303157     969849533     44996.91      8436.92
61675596     969883888      8831.38      3311.77
35947273     969818477       933.68      7002.59
75085775     982809604    382831.86     14356.19
80418289     980132719     11564.52      4336.70
92642376     996855041     10462.36    109854.79
54480484     961794023    313786.79     94136.04
92902814     996499144    474588.57    177970.71
71849097     977021825    116866.46     54781.15
50334178     999424532     45001.17      8437.72
18704770     967442842    692659.14    649367.95
74576424     968927193      1580.22     11851.67
22426315     963618659    134010.00     50253.75
95476007     994461871    875621.71    328358.14
43747517     979266668    240802.57     22575.24
24378525     988414108         0.00         0.00
42228533     975132652     33868.26     12700.60
79451674     964122161    278612.00     13059.94
38770607     997722338      1248.50      9363.78
17417928     988709287    260897.43     39134.61
68371279     964562747    392758.57    368211.16
47342704     995385862    442172.00     20726.81
86428034     966013138         0.00         0.00
93553771     991754285      7996.53     83963.59
28590120     992195429      1142.87      8571.53
60014225     991015984     89384.71      1675.96
11469229     963025747     11190.12     16785.18
66555978     983165733      1352.87     10146.50
28513247     981945340     91267.29     42781.54
93985675     984718365      6649.16       831.14
56159201     987240881      1248.56       936.42
10208631     988553274     15821.74      2966.58
71492177     996065145     19641.94      2455.24
48696892     990853875      4563.81      1711.43
44506944     997341677    175031.79    131273.84
49735945     967404761    571886.14    100080.07
62976888     983301086    362321.86     95109.49
77311203     996012502     15789.47      2960.53
97130557     990604003    871151.79     10889.40
63841142     961301650      6222.18      4666.64
11947883     962953467    485096.57     84891.90
11974336     969238062       294.90      2211.77
87858081     977887602    438682.07     76769.36
42415419     999311087      9741.51      3653.07
86731757     967374412    414080.86      7764.02
49111670     999375150    599348.36    149837.09
79137502     989014110    587466.86    146866.71
65998331     985282246     75750.83     35508.20
88635823     991930100     22722.65    340839.75
25228481     970831827    750928.71     18773.22
95047092     979895550     81807.83     38347.42
12369564     961704117       903.40      6775.48
68267720     987987704     10711.38     16067.07
63239985     984693054     85090.29     39886.07
84221415     997486027     11143.76      2089.45
18223725     974442995     67474.51     12651.47
75798544     995559969    655571.79     16389.29
15542096     981199369    468490.00    307446.56
17144383     982686037      1926.18     14446.34
77024511     986067394       579.75      4348.16
76735000     994990365    434373.71     40722.54
14053230     981913954     21588.70      4047.88
20425185     998354121       378.74      2840.54
99575923     971982119    610986.86     61098.69
12397471     995854563         0.00         0.00
03626941     995355058      4600.23     48302.40
54203357     974598213     13567.80     20351.69
63600826     988977903     16856.00      3160.50
33902661     965594025    472422.00     47242.20
45984006     962583396     27898.11      5230.90
84350882     981172641    154730.00     23209.50
55066241     977720545     12395.14     18592.70
06562634     986633340     29404.69      5513.38
80719983     969176459      1064.38      7982.88
86297559     972497906     16843.97      7895.61
51114233     974721454     52086.86       651.09
16138351     987149844     33566.44      6293.71
39123619     989463570      8660.97     90940.20
88590924     973653407     12260.62     18390.93
45453737     987696393        10.56        79.23
26252300     976411200     15043.80      5641.43
94821119     982728847      1159.63      8697.19
75511683     974112447     15653.57    164362.50
75718822     975034477     66241.56      8280.20
96559614     991832119     18070.68    271060.23
86506599     987650337    389348.64     29201.15
67919126     983772203       867.04      6502.79
85965277     994645804    397491.57      7452.97
27431042     974624582    861079.71    807262.23
57371084     982467949     22593.86      8472.70
66522050     969760828     15423.06      1927.88
11352261     981173846     33207.67      6226.44
51264753     983243554      1573.69       590.13
10782227     975937936    893688.64    156395.51
63711323     967815013      1447.98     10859.86
65318958     981286505   1128930.29     52918.61
72195023     963839190    722571.00      9032.14
69374447     988019202     15345.65      5754.62
31666193     974847804       683.68      5127.57
83799243     986553627     79082.51      9885.31
85612828     997893535     15604.24      2925.80
49531702     999467901      1022.66      7669.97
20510530     986297423        29.70       222.78
94518616     961223786    466322.86      8743.55
63891496     972594163   1015814.29     95232.59
91474829     971186699      1077.81      8083.58
49680407     991981052      1598.82     11991.17
48867224     970351484      2224.46     16683.43
56383989     991594381     13956.37      2616.82
85681790     997698797     11361.92      4260.72
65584935     999993515     15314.01      5742.76
61077874     995352413     59607.26      7450.91
26439283     987955256     60420.96      7552.62
68280264     967546995    539902.29     94482.90
08344848     994281734    147468.71     77421.08
62315257     991364012       936.70      7025.26
56124856     997289230    363456.57     95407.35
65164349     991052601     56818.94     26633.88
80639368     974893628    432415.29     64862.29
53076426     992631160     80366.74     37671.91
58018693     970164869      1431.00     10732.51
93072747     972290684      5072.44      7608.66
06570980     983300215    568491.29     21318.42
40227097     967847216       304.90      2286.77
77081320     993517559    337103.71      6320.69
14785540     997043353     33830.00     15857.81
85326242     986682434      1065.71      7992.81
49899576     993459701      4490.49     47150.14
34456814     983845673     83763.40     39264.09
